1533148840# #D4.城堡内部。
1564847539# #内宫二
1673577026# #虎年结束最后一趟差，俺要回家过年了🧨相较于过往人丁稀少，今天几乎满员，人气满满。2022真是魔幻的一年，疫情频发，特别难。哥们全年出差20次，共计58天，为何这么准？因为刚写完个人述职报告挤眼
1561358707# #好久没见过绿皮火车了！童年和大学的回忆。
1689985673# #这天，飞机晚点是大概率事件吧笑cry来之前，担心酷热；来了发现挺凉的；现在离开，有点小麻烦啰挤眼
1564240567# #爱丁堡大学（TheuniversityofEdinburgh）是位于苏格兰首府爱丁堡的世界著名公立综合性研究型大学，英国老牌名校，世界20强名校。注意它是“公立”，有别于私立，这个🐂；此外它简称“爱大”，这个简称我喜欢💕
1654660750# #它是网红打卡地，它是商务中心，也是休闲时尚潮流之地，更是高端大气上档次的商品房聚集地，它叫楚河汉街。
1669275394# #昨天广州阳7600+，持续高位，相比于11月17日的峰值9200+，呈下降趋势，特别是近2天持续下降，22日7900+，23日7600+。但是，昨天社会面50，较前两天39和40增加。这几天，广州烟雨蒙蒙，压抑自己，小蛮腰真的只是看见腰doge
1659836338# #今天送完孩子，继续星巴克之旅。来到故地，非常亲切，但也不胜唏嘘，再也回不到从前笑cry例牌，麦芽雪冷翠，它只有冻饮，通常在6月上架，其中有项原料是进口的，今年由于疫情无法进货，推迟至近日方才出货。为什么我这么清楚？因为我喝了三年哈哈
1663896863# #好多年没来过，今日秋游。
1532976817# #D2.饭后闲逛唐人街，全是吃的笑cry
1596079158# #晋南之城。
1536538439# #机场见到“大表姐”哈哈哈哈哈哈
1669944297# #广州昨天阳5800+，降至6000以下，社会已基本恢复正常，同事也纷纷回来上班。不过，我认为这个数据意义已不大，当前天广州撤了诸多检测点后，昨天大部分市民已没法做检测，即使去医院但很多也约满，有些无症状是无法发现的，这5800主要是高风险区、封控区、重点人群和出现症状者，没办法，这就是未来广
1567822031# #新学期，新开始。再战江湖！加油加油加油
1550563964# #历史真是好玩。1913年，一战前欧洲就这么十几个国家（左图）；1919一战后变成右图。主要是1919年世界的格局发生了巨大改变，英、法、美三个国家在战后组织了巴黎和会，除了讨论如何惩罚德国、奥匈帝国等战败国之外，剩下的问题都集中在了如何重新划分欧洲。在英法美主导下，德国疆界被压缩、奥匈帝国解
1533023723# #D3.今天去剑桥，伦敦火车站一瞥。
1529717332# #人机面试。上午11点开考，早上8点安检，6点半出门，6点起床，昨晚11点休息。可能是作息规律，怎么也睡不着，失眠……现场家长们犹如散兵般，稀稀拉拉，随处可见。金茂湾售楼部坐满了哈哈
1640477526# #我不是基督徒，对平安夜、圣诞节也基本无感。但我喜欢这种人山人海、摩肩接踵的画面。愿国泰民安、山河无恙！
1669356186# #广州昨天阳7500+，基本与前天持平，但令人不安的是社会面增加到89，天河员村形势严峻，珠江新城也有写字楼传出来个案。一则网传消息令人震惊，海珠区某小区阳了15个，经业主要求复查，除了4个未知结果，其他全阴，消息来自政府12345反馈公开显示。果如是，先是重庆，现在广州也出现了，如果不立马公开
1533750914# #23点抵达广州。其中伦敦-迪拜飞了6.5小时，迪拜-广州飞了8.5小时，全程飞了15小时，另经停3小时，真累！哥们为了倒时差，飞机上狂看了8部电影，中、日、美、法、英俱全！
1536467564# #周末少爷回家了可爱晚上冲凉时抱怨卫生间的灯坏了！是的，您老人家不在家，我俩的生活缺乏仪式感汗既然公子发话了，必须马上买！好在哥们熟悉广州灯饰市场，大清早赶去越秀区笑cry很顺利买到了，灯店老板开市第一单，大家都很高兴。白露过后，有点秋意，趁着凉爽骑单车沿着中山路返回，好久没来
1534894327# #上当了！没想到这边没有休息室，肚子饿。走得可真远！还要跋山涉水笑cry笑cry
1525164523# #今天马不停蹄，一口气去了三家学校，路上时间约4个小时，行程共计200公里。上午第一站去了苏元二中，学校傍山而建，非常幽静，空气清新，设备齐全。宿舍6人，两卫一浴，错落有致。但学校安排不好，排队入校足足等了一个小时，之前说好的网上已登记注册的上午优先，结果全拥进来了笑cry
1533704552# #伦敦-迪拜-广州，阿联酋空姐制服很有特色，彰显中东独特风情。
